organization,DISTRICT_ID,TYPE,COUNTY,COGO_ACRES,PLAT_ACRES,DIGITIZED,STATUS,CREATION_DATE,BNDRY_CHANGE,METHOD,SOURCE,ACCURACY,COMMENTS,INITIALS,UPDATED,TX_CNTY,FIPS,SHAPEAREA,SHAPELEN
Harris County MUD 26,3737100,MUD,Harris,1362.470814,1356.867,N,A,1972/08/22 00:00:00+00,2005/01/11 00:00:00+00,MB,FN,NP,added tracts 14 & 15,kp,2005/02/18 00:00:00+00,101,201,0.000515586,0.170065257
Wilbarger Creek MUD 1,8635000,MUD,Travis,301.6383711,300.416,N,A,2002/05/30 00:00:00+00,2005/02/23 00:00:00+00,MB,FN,P,wilbargercreekmud1redef.txt,kp,2005/03/15 00:00:00+00,227,453,0.000114544,0.062210211
Fort Hancock WCID,3098000,WCID,Hudspeth,3937.616138,3918,N,A,1952/07/14 00:00:00+00,,MB,MAPMB,NP,"district redrawn, see file",kp,2005/04/04 00:00:00+00,115,229,0.0015097,0.204795533
Travis County MUD 2,7822000,MUD,Travis,405.7241859,404.081,N,A,1983/12/13 00:00:00+00,2005/04/06 00:00:00+00,MB,FN,P,travismud2_1.txt,kp,2005/05/02 00:00:00+00,227,453,0.00015406,0.074634024
Harris County MUD 278,3737746,MUD,Harris,1232.468018,1229.116,N,A,1985/03/27 00:00:00+00,2012/02/09 00:00:00+00,MB,FN,P,harrismud278_*.txt,kp,2012/03/27 00:00:00+00,101,201,0.000466219,0.447659831
La Feria Irrigation District Cameron County 3,5285000,ID,Cameron,40169.84366,0,Y,A,1916/09/16 00:00:00+00,2009/05/09 00:00:00+00,OSD,MAP,NP,la_feria_id_camerons_co3.shp,SFA,2010/09/09 00:00:00+00,31,61,0.014680237,1.200665757
Rankin Road West MUD,7176000,MUD,Harris,313.6672222,313.623,N,A,1984/10/23 00:00:00+00,,MB,MAPMB,P,NA,mc,2000/10/18 00:00:00+00,101,201,0.000118643,0.070240009
Baker Road MUD,1173000,MUD,Harris,164.3200257,163.723,N,A,1983/11/15 00:00:00+00,2002/07/16 00:00:00+00,MB,fFN,P,bakerroadmud-t5a.txt,sjm,2004/02/18 00:00:00+00,101,201,6.20E-05,0.033638155
Louetta Road Utility Dristrict,5449000,MUD,Harris,219.2639383,219.23,N,A,1969/06/12 00:00:00+00,2016/09/22 00:00:00+00,MB,MAPMB,NP,acreages,ks,2020/05/07 00:00:00+00,101,201,8.30E-05,0.073027358
West Jefferson County Municipal Water District,8473300,MUD,Jefferson,90714.39068,0,Y,A,1977/08/29 00:00:00+00,,MAP,NA,NP,no database acres listed,rj,2000/10/19 00:00:00+00,123,245,0.034301036,1.003526341
Meeker Municipal Water District,5812700,MUD,Jefferson,21492.23876,21020,Y,A,1977/08/29 00:00:00+00,,MAP,NA,NP,difference in acreage,rj,2000/10/19 00:00:00+00,123,245,0.008138619,0.528916843
North Channel Water Authority,5980100,OTH,Harris,10267.98097,7839.72,Y,A,1989/06/14 00:00:00+00,,OSD,OTH,NP,northchannelwa.shp,SFA,,101,201,0.003877141,1.343826554
North Texas MWD,6010000,RA,Collin,277998.5013,0,Y,A,1951/04/20 00:00:00+00,,OSD,OTH,NP,north_texas_mwd.shp,SFA,,43,85,0.108576318,10.3673953
Harris County Improvement District 18,3736454,MUD,Harris,1886.955803,1886.8,N,A,2009/06/19 00:00:00+00,2011/08/24 00:00:00+00,MB,FN,P,harrisid18_*.txt,kp,2012/10/02 00:00:00+00,101,201,0.000714634,0.187288251
Montgomery County WCID 4,4799292,WCIDq,Montgomery,2921.008916,0,N,A,2013/06/19 00:00:00+00,2019/03/14 00:00:00+00,MB,FN,NP, ,gn,2021/12/10 00:00:00+00,170,339,0.001107505,0.433469257
Maverick Improvement District of Palo Pinto County,5786100,MUD,Palo Pinto,547.9250086,546,N,A,2009/09/01 00:00:00+00,2010/10/20 00:00:00+00,MB,FN,P,maverick_id_palo_pinto_co_*.txt,kp,2012/03/15 00:00:00+00,182,363,0.000213731,0.140806153
Fort Bend County MUD 168,3079425,MUD,Fort Bend,328.5612163,332.5849,N,I,2005/07/20 00:00:00+00,2021/02/01 00:00:00+00,MB,FN,NP, ,gn,2021/10/29 00:00:00+00,79,157,0.000123793,0.091386195
East Williamson County MUD 1,8664509,MUD,Williamson,457.5073171,434.501,N,I,2017/09/01 00:00:00+00,2021/03/04 00:00:00+00,MB,FN,NP, ,gn,2021/10/07 00:00:00+00,246,491,0.000174237,0.133530476
Johnson Ranch MUD,2392500,MUD,Comal,755.6751629,748.17,Y,I,2007/02/20 00:00:00+00,,OSD,MAP,NP,comal_wcid1.shp,SFA,2009/02/26 00:00:00+00,46,91,0.000285248,0.097305119
Harris-Liberty Counties MUD 1,5787200,MUD,Harris,856.3493748,856.1927,N,I,1971/06/04 00:00:00+00,,MB,MAPMB,P,NA,ks,2020/01/31 00:00:00+00,101,201,0.000324247,0.096473119
La Porte Area Water Authority,5357100,OTH,Harris,21101.68129,0,Y,A,1981/06/16 00:00:00+00,,MAP,MAP,NP,see file,mc,2000/10/31 00:00:00+00,101,201,0.007959076,0.498529848
Harris-Waller Counties MUD 5,4057916,MUD,Harris,489.3165253,489.32,N,A,2020/08/20 00:00:00+00,2021/02/04 00:00:00+00,MB,FN,P, ,gn,2021/10/08 00:00:00+00,101,201,0.000184877,0.145905094
Fort Bend County MUD 69,3080030,MUD,Fort Bend,248.3435763,248.2669,N,A,1984/08/22 00:00:00+00,1991/06/06 00:00:00+00,MB,MAPMB,NP,difference in acreages,mc,,79,157,9.36E-05,0.046277889
Fort Bend County MUD 68,3080028,MUD,Fort Bend,402.2902509,402.201,N,A,1984/11/21 00:00:00+00,1991/01/28 00:00:00+00,MB,MAPMB,P,NA,mc,,79,157,0.000151608,0.064205546
Brazoria Drainage District 4,1663500,DD,Brazoria,55373.89578,0,N,A,1910/06/28 00:00:00+00,,D,OTH,NP,brazoria_dd4.shp,SFA,2009/01/27 00:00:00+00,20,39,0.020856052,0.796546708
Beaver Creek WCID 1,1216250,WCID,Burleson,1915.131319,1907.3,N,I,2008/06/26 00:00:00+00,,MB,FN,NP,beavercreekwcid1.txt,sae,2009/07/15 00:00:00+00,26,51,0.000727858,0.133585738
Jefferson County Drainage District 7,4922000,DD,Jefferson,72457.9259,0,N,A,1946/02/04 00:00:00+00,,SHP,OTH,NP,jefferson_dd7.shp,SFA,2009/03/04 00:00:00+00,123,245,0.027398061,0.834378091
Laguna Madre Water District,5300700,MUD,Cameron,34970.7634,0,Y,A,1950/12/05 00:00:00+00,,OSD,MAP,NP,laguna_madre_wd.shp,SFA,2009/03/05 00:00:00+00,31,61,0.012770622,0.699288698
Lake Alan Henry Water District,5300900,OTH,Kent,219950.0425,0,Y,I,2003/06/21 00:00:00+00,,OSd,MB,NP,lake_alan_henry_wd.shp,SFA,2009/03/05 00:00:00+00,85,169,0.085957665,1.219727649
Lakeside Water Supply District,5320000,WCID,Bosque,406.9104289,295,Y,A,1963/03/07 00:00:00+00,,OSD,MAP,NP,lakeside_wsd.shp,SFA,2009/03/05 00:00:00+00,18,35,0.000157184,0.079458926
Liberty County MUD 2,5419500,MUD,Liberty,620.5643268,618.14,N,I,2007/09/28 00:00:00+00,,MB,FN,P,libertymud2.txt,jb,,146,219,0.000235062,0.065930312
Liberty County MUD 3,5421250,MUD,Liberty,739.828636,736.96,N,I,2007/09/28 00:00:00+00,,MB,FN,P,libertymud3.txt,jb,,146,291,0.000280214,0.079808018
Siena MUD 2,7572650,MUD,Williamson,334.4840052,333.225,N,A,2007/10/19 00:00:00+00,2016/03/23 00:00:00+00,MB,FN,P, ,SPT,2020/04/23 00:00:00+00,246,491,0.000127278,0.058439907
Galveston County MUD 35,3202615,MUD,Galveston,375.1751393,373.9,N,I,2007/08/03 00:00:00+00,,MB,FN,P,galvestonmud35_*.txt,jb,,84,167,0.000141188,0.074387956
East Montgomery County MUD 4,2802200,MUD,Montgomery,652.2050197,652.214,N,A,2003/07/07 00:00:00+00,2016/09/01 00:00:00+00,MB,FN,P, ,SPT,2018/11/16 00:00:00+00,170,339,0.000247025,0.121947529
East Central SUD,2799300,SUD,Bexar,87546.51061,87254,N,I,2004/10/12 00:00:00+00,,MB,FN,NP,eastcentralsud_*,kp,2005/05/09 00:00:00+00,15,29,0.032928241,1.643210512
Galveston County MUD 51,3199579,MUD,Galveston,122.7294482,122.3052,N,A,2005/02/10 00:00:00+00,,MB,FN,P,galvestonmud51,kp,,84,167,4.62E-05,0.033411534
Harris County MUD 403,3737126,MUD,Harris,456.5864525,454.863,N,A,2005/02/22 00:00:00+00,,MB,FN,P,harrismud403_*,kp,,101,201,0.000172597,0.075688318
Kaufman County MUD 7,5189743,MUD,Kaufman,393.6686739,392.314,N,A,2004/11/10 00:00:00+00,,MB,FN,NP,lakevistamud3,kp,,129,257,0.000153384,0.072669962
Kaufman County MUD 9,5196020,MUD,Kaufman,293.048425,291.986,N,A,2003/08/07 00:00:00+00,2005/11/16 00:00:00+00,MB,FN,P,kingsboroughmud2_se,kp,2006/04/26 00:00:00+00,129,257,0.000114005,0.045986322
Kaufman County MUD 10,5196030,MUD,Kaufman,534.407535,531.15,N,A,2003/09/01 00:00:00+00,2005/11/16 00:00:00+00,MB,FN,P,kingsboroughmud3_anx,kp,2006/04/26 00:00:00+00,129,257,0.000207902,0.066396979
Kaufman County MUD 11,5196040,MUD,Kaufman,455.2926635,453.675,N,I,2003/09/01 00:00:00+00,2005/11/16 00:00:00+00,MB,FN,P,kingsboroughmud4_se,kp,2006/04/26 00:00:00+00,129,257,0.000177161,0.057458589
Kaufman County MUD 12,5196050,MUD,Kaufman,318.991724,317.835,N,I,2003/09/01 00:00:00+00,2005/11/16 00:00:00+00,MB,FN,P,kingsboroughmud5_anx,kp,2006/04/26 00:00:00+00,129,257,0.000124087,0.043973841
Pine Forest MUD,7104250,MUD,Harris,216.3384734,215.508,N,I,1971/05/26 00:00:00+00,2020/05/10 00:00:00+00,MB,FN,NP,pineforestmud*.txt,kp,2006/05/01 00:00:00+00,101,201,8.19E-05,0.054596352
Pine Village PUD,7107000,MUD,Harris,388.746378,388.4736,N,A,1971/06/04 00:00:00+00,2005/11/09 00:00:00+00,MB,FN,NP,pinevillagepud_*.txt,kp,2006/05/02 00:00:00+00,101,201,0.000146956,0.104221217
Renn Road MUD,7281270,MUD,Harris,341.328245,340.09,N,A,1978/12/22 00:00:00+00,2006/01/06 00:00:00+00,MB,FN,NP,rennrdmud_rd,kp,2006/05/08 00:00:00+00,101,201,0.000128738,0.061361001
Williamson County MUD 10,8664550,MUD,Williamson,508.9606074,506.861,N,A,1999/05/14 00:00:00+00,2005/10/18 00:00:00+00,MB,FN,NP,williamsonmud10_anx,kp,2006/05/19 00:00:00+00,246,241,0.000193669,0.070374216
Refugio County Drainage District 1,7260000,DD,Refugio,200172.0637,0,Y,A,1949/11/03 00:00:00+00,,OSD,MAP,NP,refugio_dd1.shp,SFA,,196,391,0.074582018,1.441047985
Rio Grande Regional Water Authority,7283500,OTH,Cameron,5862345.677,0,Y,I,2003/08/01 00:00:00+00,,OSD,FN,NP,roi_grande_regional_wa.shp,SFA,,31,61,2.15652364,15.00723964
Cypress Valley Navigation District,2414000,ND,Marion,621791.4383,0,Y,A,1965/08/30 00:00:00+00,,OSD,FN,NP,cypress_valley_nd.shp,SFA,2009/01/27 00:00:00+00,158,315,0.241958268,2.422879363
Sedona Lakes MUD 1 of Brazoria County,7553000,MUD,Brazoria,542.5386017,543.4134,n,a,2008/02/22 00:00:00+00,2014/02/27 00:00:00+00,MB,FN,NP, ,ks,2016/04/28 00:00:00+00,20,39,0.000204501,0.11426143
Paseo Del Este MUD 11,7024825,MUD,El Paso,263.6367242,263.61,Y,A,1995/05/29 00:00:00+00,,E,DWG,NP,NA,smg,2001/07/31 00:00:00+00,71,141,0.000101486,0.053038875
Fern Bluff MUD,3035500,MUD,Williamson,689.2350965,689.112,Y,A,1986/05/27 00:00:00+00,,MB,MAPMB,NP,NA,smg,2001/07/31 00:00:00+00,246,491,0.000262128,0.095788669
Sienna Plantation MUD 12,7573918,MUD,Fort Bend,1096.043767,1096.4335,N,A,2002/09/26 00:00:00+00,2016/05/05 00:00:00+00,MB,FN,NP, ,ks,2016/10/19 00:00:00+00,79,157,0.000412605,0.152340628
Cinco MUD 2,2286718,MUD,Fort Bend,767.3702168,767.2017,N,A,1985/05/24 00:00:00+00,1993/06/15 00:00:00+00,MB,MAPMB,P,NA,mc,,79,157,0.000289596,0.102813066
Fort Bend County LID 8,3073250,LID,Fort Bend,1259.112428,1308.2,N,I,1986/12/22 00:00:00+00,,MB,MAPMB,NP,db & cogo acres off,sb,,79,157,0.000474159,0.138573252
Fort Bend County LID 2,3071000,LID,Fort Bend,5354.585666,5313,N,A,1975/02/10 00:00:00+00,,MB,MAPMB,NP,db & cogo acres off,sb,,79,157,0.002017745,0.218045116
First Colony LID 2,3036004,LID,Fort Bend,615.0142768,9999,N,A,1985/10/07 00:00:00+00,,MB,MAPMB,NP,"db & cogo acres off, no plat acres",sb,,79,157,0.000231696,0.077807558
Fort Bend County MUD 111,3082100,MUD,Fort Bend,511.706358,511.5083,N,A,1992/07/13 00:00:00+00,,MB,MAPMB,P,NA,sb,,79,157,0.000192832,0.070567214
Dallas County Park Cities MUD,2629000,MUD,Dallas,3801.944446,3776,Y,A,1938/09/20 00:00:00+00,1974/12/19 00:00:00+00,D,MAP,NP,difference in acreages,sb,,57,113,0.001481926,0.199025616
Inverness Forest Improvement District,4715000,WCID,Harris,694.4158357,694.11,N,A,1965/06/17 00:00:00+00,1984/10/18 00:00:00+00,MB,MAPMB,NP,difference in acreages,mc,2000/10/04 00:00:00+00,101,201,0.00026282,0.134811703
Harris County WCID 116,4241160,WCID,Harris,379.6236245,379.5178,N,A,1968/09/12 00:00:00+00,1981/08/26 00:00:00+00,MB,MAPMB,NP,difference in acreages,mc,2000/09/26 00:00:00+00,101,201,0.000143619,0.058832513
Harris County WCID 1,3750000,WCID,Harris,1969.694451,2064,N,A,1939/05/01 00:00:00+00,1979/10/08 00:00:00+00,MB,MB,NP,difference in acreages,mc,2000/09/12 00:00:00+00,101,201,0.000743916,0.16890151
Houston Downtown Management District,4665000,MMD,Harris,706.4076143,705,Y,A,1995/05/22 00:00:00+00,,E,DWG,NP,difference in acreages,mc,2000/10/03 00:00:00+00,101,201,0.000266641,0.077375781
West Harris County MUD 6,8472930,MUD,Harris,235.6237512,235.623,N,A,1978/03/07 00:00:00+00,,MB,MAPMB,P,NA,mc,2001/02/23 00:00:00+00,101,201,8.89E-05,0.046994328
West Harris County MUD 4,8472920,MUD,Harris,245.2365519,245.23,N,A,1977/10/31 00:00:00+00,1980/10/30 00:00:00+00,MB,MAPMB,P,NA,mc,2001/02/23 00:00:00+00,101,201,9.25E-05,0.055431736
West Harris County MUD 16,8472974,MUD,Harris,96.12310843,96.1394,N,A,1980/03/10 00:00:00+00,,MB,MAPMB,P,NA,mc,2001/02/23 00:00:00+00,101,201,3.63E-05,0.032270311
West Harris County MUD 14,8472970,MUD,Harris,395.6449318,395.49,N,A,1980/07/08 00:00:00+00,1985/07/01 00:00:00+00,MB,MAPMB,P,NA,mc,2001/02/23 00:00:00+00,101,201,0.000149569,0.064145711
West Harris County MUD 10,8472962,MUD,Harris,693.6245376,694.032,N,A,1979/06/06 00:00:00+00,2010/09/02 00:00:00+00,MB,FN,NP,wharrismud10_*.txt,kp,2010/09/15 00:00:00+00,101,201,0.000262222,0.082068856
Spanish Cove PUD,7587000,MUD,Harris,241.3005966,241.311,N,A,1971/05/26 00:00:00+00,,MB,MAPMB,P,NA,mc,2000/12/06 00:00:00+00,101,201,9.13E-05,0.044636392
Southbend MUD,7576700,MUD,Harris,502.6264275,502.501,N,I,1977/05/17 00:00:00+00,,MB,MAPMB,P,NA,mc,2000/12/05 00:00:00+00,101,201,0.000189378,0.066417769
Sequoia Improvement District,7555500,MUD,Harris,180.8641786,180.8434,N,A,1965/06/17 00:00:00+00,,MB,FN,P,NA,mc,2000/12/05 00:00:00+00,101,201,6.84E-05,0.059561197
Robin PUD,7293000,MUD,Harris,187.4096863,187.3742,N,I,1971/06/04 00:00:00+00,1978/06/16 00:00:00+00,MB,MB,P,NA,mc,2000/12/01 00:00:00+00,101,201,7.09E-05,0.04557793
Northwest Harris County MUD 27,6041645,MUD,Harris,78.94376422,78.925,N,I,1985/06/05 00:00:00+00,,MB,MAPMB,P,NA,mc,2001/02/21 00:00:00+00,101,201,2.99E-05,0.027642095
Central WCID of Angelina County,2261000,WCID,Angelina,15263.88599,0,Y,A,1963/10/29 00:00:00+00,1983/08/01 00:00:00+00,MB,MAPMB,NP,difference in acreages,mc,,3,5,0.005859512,0.705810559
North Zulch MUD,6042895,MUD,Madison,894.6259013,894.38,N,A,1973/12/13 00:00:00+00,,MB,MAPMB,P,NA,sb,,157,313,0.000341629,0.074777278
Lee County FWSD 1,5384000,FWSD,Lee,212.2234937,212.188,N,A,1961/05/11 00:00:00+00,,MB,MAPMB,P,NA,sb,,144,287,8.06E-05,0.057489344
Fort Clark MUD,3094000,MUD,Kinney,2700.748094,2699.92,N,A,1972/05/08 00:00:00+00,,MB,MAPMB,P,NA,sb,,136,271,0.001014869,0.139486247
Cardinal Meadows Improvement District,2254000,WCID,Jefferson,97.53707103,97.43,N,A,1965/08/30 00:00:00+00,,MB,MAPMB,NP,NA,sb,2002/09/13 00:00:00+00,123,245,3.69E-05,0.038374377
Cinco MUD 5,2286724,MUD,Fort Bend,433.1451134,433.026,NA,A,1985/05/24 00:00:00+00,,MB,MAPMB,NP,no cogo acres listed,mc,,79,157,0.000163454,0.059791763
Cinco MUD 3,2286720,MUD,Fort Bend,363.1462645,362.866,N,A,1985/05/24 00:00:00+00,,MB,MAPMB,NP,difference in acreages,mc,,79,157,0.000137051,0.051675472
Cinco MUD 10,2286734,MUD,Fort Bend,581.3724078,581.259,N,A,1986/08/20 00:00:00+00,1993/10/29 00:00:00+00,E,DGN,NP,difference in acreages,mc,,79,157,0.000219408,0.100264243
Cinco MUD 1,2286716,MUD,Fort Bend,245.7962015,245.754,Y,A,1985/05/24 00:00:00+00,,D,MAPMB,NP,cogo acres not provided,mc,,79,157,9.28E-05,0.044805171
Chelford City MUD,2283300,MUD,Fort Bend,705.2874777,704.9168,N,A,1973/01/23 00:00:00+00,1977/05/10 00:00:00+00,MB,MB,NP,difference in acreages,mc,,79,157,0.000266064,0.093454952
Blue Ridge West MUD,1548000,MUD,Fort Bend,827.2185199,862.28,N,A,1967/06/16 00:00:00+00,1978/12/28 00:00:00+00,MB,MAPMB,NP,no plat acres,sb,,79,157,0.000311763,0.080983766
Fort Bend County MUD 53,3079996,MUD,Fort Bend,170.0796063,170.05,N,I,1984/08/02 00:00:00+00,,MB,MAPMB,P,NA,mc,,79,157,6.42E-05,0.03370124
Fort Bend County MUD 49,3079988,MUD,Fort Bend,187.1501111,187.096,N,A,1983/07/13 00:00:00+00,1985/12/23 00:00:00+00,MB,MAPMB,P,NA,mc,,79,157,7.05E-05,0.042751933
Fort Bend County MUD 45,3079980,MUD,Fort Bend,2226.686784,2226.118,N,I,1982/07/21 00:00:00+00,1984/08/28 00:00:00+00,MB,MAPMB,P,NA,mc,,79,157,0.000838804,0.152083949
Denton County Road Utility District 1,2723000,OTH,Denton,1342.170319,0,N,A,1986/09/24 00:00:00+00,,SHP,OTH,NP,denton_rud1.shp,SFA,2009/01/28 00:00:00+00,61,121,0.000524029,0.108180981
Espada Development District,2891150,MMD,Bexar,1752.685474,0,N,I,2005/06/17 00:00:00+00,,SHP,OTH,NP,espada_dd.shp,SFA,2009/01/28 00:00:00+00,15,29,0.000658651,0.154369252
Galveston County WCID 19,3374000,MUD,Galveston,234.1231645,250.45,N,A,1963/07/08 00:00:00+00,2017/01/09 00:00:00+00,SHP/MB,/FN,NP,galveston_wcid19.shp,ks,2018/08/23 00:00:00+00,84,167,8.80E-05,0.055170841
Harris County MUD 23,3737094,MUD,Harris,396.9662282,396.913,N,A,1972/09/07 00:00:00+00,2000/01/13 00:00:00+00,MB,MAPMB,NP,difference in acreages,mc,,101,201,0.000150023,0.080544295
Harris County MUD 222,3737512,MUD,Harris,497.7249258,497.62,N,A,1983/08/30 00:00:00+00,1994/12/21 00:00:00+00,MB,MAPMB,P,NA,mc,,101,201,0.000188183,0.086301185
Harris County MUD 215,3737498,MUD,Harris,89.45861608,89.417,N,A,1981/07/15 00:00:00+00,,MB,MAPMB,P,NA,mc,,101,201,3.38E-05,0.024829046
Harris County MUD 322,3737840,MUD,Harris,468.1626924,468.1077,N,A,1987/06/10 00:00:00+00,1992/11/23 00:00:00+00,MB,MAPMB,P,NA,mc,2000/09/05 00:00:00+00,101,201,0.000177131,0.075673599
Harris County MUD 208,3737484,MUD,Harris,328.1584409,328.091,N,A,1981/03/25 00:00:00+00,,MB,MAPMB,P,NA,mc,2000/09/28 00:00:00+00,101,201,0.000124029,0.052027611
Harris County MUD 183,3737434,MUD,Harris,351.0545747,350.85,N,A,1979/07/10 00:00:00+00,2021/02/23 00:00:00+00,MB,FN,P,"harriscomud183-t*.txt, harrscomud18",gn,2021/10/07 00:00:00+00,101,201,0.000132634,0.079946341
Harris County MUD 179,3737426,MUD,Harris,216.5545428,216.508,N,A,1979/03/06 00:00:00+00,,MB,MAPMB,P,see file,mc,,101,201,8.19E-05,0.039791223
Northwest Harris County MUD 22,6041580,MUD,Harris,313.1188044,313.0633,N,A,1979/07/03 00:00:00+00,,MB,MAPMB,P,NA,mc,2001/02/20 00:00:00+00,101,201,0.000118451,0.052209045
Northwood MUD 1,6042880,MUD,Harris,427.6753741,427.604,N,A,1985/08/07 00:00:00+00,,MB,MAPMB,P,NA,mc,2001/02/21 00:00:00+00,101,201,0.000161833,0.101410239
Clear Creek Forest MUD 2,2298154,MUD,Montgomery,261.3267654,262.28,N,I,1985/06/14 00:00:00+00,,MB,MB,NP,no map,smg,2001/08/08 00:00:00+00,170,339,9.90E-05,0.051541324
Clear Creek Forest MUD 1,2298152,MUD,Montgomery,231.4228868,231.4227,N,I,1985/06/14 00:00:00+00,,MB,FN,P,NA,smg,2001/08/08 00:00:00+00,170,339,8.77E-05,0.043715108
El Dorado Utility District,2817500,MUD,Harris,328.6286131,329.54,N,A,1971/06/04 00:00:00+00,2017/08/23 00:00:00+00,MB,MAPMB,P,new map needed to place annex,JSA,2018/08/22 00:00:00+00,101,201,0.000124276,0.083392435
Freer WCID,3105000,WCID,Duval,11826.51658,10890.92,Y,A,1960/02/11 00:00:00+00,,D,MAPMB,NP,difference in acreages,sb,,66,131,0.004386664,0.290888777
Duval County Conservation & Reclamation District,2750000,WCID,Duval,1135361.113,0,Y,A,1949/06/13 00:00:00+00,,D,MAP,NP,difference in acreages,mc,,66,131,0.420293639,3.051344578
Grand Prairie Metropolitan Utility & Reclamation District,3403400,OTH,Dallas,812.68813,812.474,N,A,1985/06/15 00:00:00+00,,MB,MAPMB,NP,polygon is not correct,mc,,57,113,0.000316507,0.093613787
Crockett County WCID 1,2410000,WCID,Crockett,953.0978674,0,Y,A,1940/12/02 00:00:00+00,1977/04/07 00:00:00+00,D,MAP,NP,"db & cogo acres off, outdated map",sb,,53,105,0.000363189,0.082205652
Glidden FWSD 1,3397000,FWSD,Colorado,986.0616133,985.79,N,A,1972/08/30 00:00:00+00,,MB,MAPMB,P,NA,sb,,45,89,0.000371983,0.126341029
Colorado County WCID 2,2370000,WCID,Colorado,359.7444536,0,N,A,1956/05/28 00:00:00+00,,MB,MAPMB,NP,no plat acres,sb,,45,89,0.00013538,0.054246601
Seis Lagos Utility District,7554000,MUD,Collin,645.7893768,645.6,N,A,1973/03/12 00:00:00+00,2007/07/19 00:00:00+00,MB,FN,NP,seislagoud_*.txt,kp,2013/04/24 00:00:00+00,43,85,0.000252357,0.097051584
Port O'Connor MUD,7143000,MUD,Calhoun,2189.831929,0,Y,A,1977/08/29 00:00:00+00,,D,MAP,NP,missing DB and plat acres,sb,,29,57,0.000816296,0.153027001
Calhoun County WCID 1,1902000,WCID,Calhoun,23669.79529,23394.52,N,A,1929/05/13 00:00:00+00,2007/10/08 00:00:00+00,FN,MAP,NP,calhounwcid1_*.txt,sae,2008/01/12 00:00:00+00,29,57,0.008828129,0.600215655
Calhoun County Drainage District 8,1875000,DD,Calhoun,15272.51454,16319,Y,A,1929/07/20 00:00:00+00,,D,MAP,NP,See note,sb,,29,57,0.005696952,0.374602478
Burleson County MUD 1,1753000,MUD,Burleson,306.3058339,306.28,N,A,1971/06/04 00:00:00+00,,MB,MAPMB,P,NA,sb,,26,51,0.000116259,0.05155213
Rayburn Country MUD,7190050,MUD,Jasper,3133.544787,0,Y,A,1987/06/18 00:00:00+00,,D,MAP,NP,district should have exclusion trac,sb,,121,241,0.001198556,0.360747088
Jackson County WCID 1,4880000,WCID,Jackson,1664.877142,0,Y,A,1955/04/09 00:00:00+00,,D,MAP,NP,no db acres,sb,,120,239,0.000622875,0.105079051
Jackson County WCID 2,4890000,WCID,Jackson,288.022198,0,N,A,1952/09/08 00:00:00+00,,MB,MAPMB,P,district placement uncertain,sb,,120,239,0.000107763,0.044169442
Commerce Water District,2397100,SWCD,Hunt,4096.811193,0,N,A,1973/05/14 00:00:00+00,,E,DWG,NP,"no db or plat acres,see file",sb,,116,231,0.001603923,0.243559319
Howard County WCID 1,4670000,MUD,Howard,7524.583957,0,Y,A,1954/08/30 00:00:00+00,1975/06/21 00:00:00+00,D,MAP,NP,"db & cogo acres off, outdated map",sb,,114,227,0.002915211,0.260669263
Lazy River Improvement District,5375000,WCID,Montgomery,657.1677911,657.116,N,A,1965/06/17 00:00:00+00,,MB,MAPMB,P,NA,smg,2001/08/13 00:00:00+00,170,339,0.000249222,0.075407999
Montgomery County Utility District 2,5858500,MUD,Montgomery,316.3699147,316.3229,N,A,1971/06/04 00:00:00+00,1982/12/01 00:00:00+00,MB,MAPMB,NP,Acreage difference,smg,2001/08/07 00:00:00+00,170,339,0.000120189,0.091146773
Brazoria County MUD 17,1636630,MUD,Brazoria,771.2503248,770.5852,N,A,1999/05/21 00:00:00+00,2005/11/01 00:00:00+00,MB,FN,NP,tract 12 not correct,kp,2006/01/05 00:00:00+00,20,39,0.000290545,0.281991455
Harris County MUD 407,3737151,MUD,Harris,54.38688216,54.1867,N,A,2005/09/01 00:00:00+00,,MB,FN,NP,harrismud407.txt,kp,,101,201,2.05E-05,0.020537802
Belmont FWSD 2 of Denton County,1258550,FWSD,Denton,271.3865508,329,N,A,2007/08/14 00:00:00+00,2019/08/21 00:00:00+00,MB,FN,NP, ,SPT,2019/10/04 00:00:00+00,61,121,0.000106103,0.070496687
Fort Bend County MUD 35,3079960,MUD,Fort Bend,770.6694976,767.9002,N,A,1981/09/02 00:00:00+00,2005/10/05 00:00:00+00,MB,FN,P,ftbdmud35_*,kp,2006/01/31 00:00:00+00,79,157,0.000290782,0.122031177
Fort Bend County MUD 112,3082200,MUD,Fort Bend,299.4442513,299.357,N,A,1992/04/14 00:00:00+00,,MB,MAPMB,NP,dwg file indicated in records but n,mc,,79,157,0.000112839,0.063530679
Fort Bend County MUD 56,3080002,MUD,Fort Bend,320.6775486,320.6518,N,I,1987/04/14 00:00:00+00,,MB,MAPMB,P,NA,mc,,79,157,0.000120766,0.061508873
Fort Bend County MUD 19,3079500,MUD,Fort Bend,174.4435371,174.335,N,A,1973/01/10 00:00:00+00,,MB,MAPMB,P,NA,mc,,79,157,6.57E-05,0.037600341
Cottonwood Creek WCID 2,2404450,WCID,Travis,298.699397,297.59,N,I,1985/06/04 00:00:00+00,,MB,FN,NP,cottonwood_creek_wcid2.shp,SFA,,227,453,0.000113434,0.079986262
